Tag,Supported OS,x86_64/amd64, arm64/v8, riscv64,Description
corebuild,- Linux - Windows - macOS,✅,✅,✅,Base image including prerequisites for compiling tools and libraries for applications needing GUI and some other necessary tools
sdrsa_devices,- Linux - Windows - macOS,✅,✅,✅,Contains all drivers of devices included in sdrsa_devices.docker
sdrsa_devices_antsdr,- Linux - Windows,✅,✅,✅,Contains all drivers of devices included in sdrsa_devices.docker but replacing official UHD drivers by ANTSDR ones
sdrsa_devices_rtlsdrv4,- Linux - Windows - macOS,✅,✅,✅,Contains all drivers of devices included in sdrsa_devices.docker but replacing default RTL-SDR drivers to support v4 version for the RTL-SDR blog
sdr_light,- Linux - Windows - macOS,✅,✅,✅,Light image built for SDR uses with limited number of tools used in sdr_light.docker file
sdr_light_intelgpu,- Linux - Windows,✅,❌,❌, same as sdr_light but with Intel GPU driver and gr-fosphor
sdr_light_nvidiagpu,- Linux - Windows,✅,❌,❌, same as sdr_light but with NVidia GPU driver and gr-fosphor
sdr_full,- Linux - Windows - macOS,✅,✅,✅,Full image including all SDR tools used in sdr_full.docker file
wifi_basic,- Linux - Windows - macOS,✅,✅,✅,Wi-Fi image for security tests using tools included in wifi_basic.docker
wifi_full,- Linux - Windows - macOS,✅,✅,✅,Wi-Fi image for security tests using tools included in wifi_full.docker
rfid,- Linux - Windows - macOS,✅,✅,✅,RFID image for security tests using tools included in rfid.docker
reversing,- Linux - Windows - macOS,✅,✅,❌ (not yet),Reversing image for security tests using tools included in reversing.docker
automotive,- Linux - Windows - macOS,✅,✅,❌ (not yet),Automotive image for security tests using tools included in automotive.docker
bluetooth,- Linux - Windows - macOS,✅,✅,✅,Bluetooth classic and LE image for security tests using tools in bluetooth.docker
telecom_utils,- Linux - Windows - macOS,✅,✅,✅,Telecom image for security tests using tools included in telecom_utils.docker
telecom_2Gto3G,- Linux - Windows - macOS,✅,✅,✅,Telecom image for security tests using tools included in telecom_2Gto3G.docker
telecom_4G_5GNSA,- Linux - Windows - macOS,✅,✅,✅,Telecom image for security tests using tools included in telecom_4G_5GNSA.docker
telecom_5G,- Linux - Windows - macOS,✅,✅,✅,Telecom image for security tests using tools included in telecom_4G_5GNSA.docker
network,- Linux - Windows - macOS,✅,✅,❌ (not yet),Image for reversing security tests using tools included in reversing.docker
hardware,- Linux - Windows - macOS,✅,✅,✅,Image for hardware security tests using tools included in hardware.docker
