Tool(s),Description,Available commands,amd64,aarch64,riscv64,Installation function,Installed by default
Burp Suite Community,Web application security testing,burpsuite,✅,✅,✅,burpsuite_community_install,✅
Nmap,Network discovery and security auditing,nmap | ncat | nping | ndiff,✅,✅,✅,nmap_soft_install,✅
Wireshark,Network protocol analyzer,wireshark,✅,✅,✅,wireshark_soft_install,✅
Metasploit,Penetration testing framework,msfconsole | msfvenom | msfdb | msfrpc | msfd,✅,✅,❌,metasploit_soft_install,✅
Tshark,Command-line network protocol analyzer,tshark,✅,✅,✅,tshark_soft_install,✅
Impacket,Python classes for network protocols,psexec.py | smbexec.py | wmiexec.py | secretsdump.py | GetNPUsers.py,✅,✅,✅,impacket_soft_install,✅
AutoRecon,Network reconnaissance automation,autorecon,✅,✅,✅,autorecon_soft_install,✅
Responder,LLMNR NBT-NS and MDNS poisoner,responder | Responder.py,✅,✅,✅,responder_soft_install,✅
TruffleHog,Find secrets in git repositories,trufflehog,✅,✅,✅,trufflehog_script_install,✅
hping3,Network tool for crafting packets,hping3,✅,✅,✅,hping3_soft_install,✅
arping,ARP-level ping utility,arping,✅,✅,✅,arping_soft_install,✅
NetExec,Network protocol exploitation (formerly CrackMapExec),nxc | netexec,✅,✅,✅,netexec_soft_install,✅
SubEnum,Subdomain enumeration tool,subenum,✅,✅,✅,subenum_soft_install,✅
WebCopilot,Web application reconnaissance automation,webcopilot,✅,✅,✅,webcopilot_soft_install,✅
gowitness,Web screenshot and recon tool,gowitness,✅,✅,✅,gowitnes_soft_install,✅
SIPVicious,VoIP security testing suite,sipvicious | svmap | svwar | svcrack | svreport | svcrash,✅,✅,✅,sipvicious_soft_install,✅
Voipire,VoIP attack toolkit,voipire,✅,✅,✅,voipire_soft_install,✅
SIPpts,VoIP penetration testing suite,sippts,✅,✅,✅,sippts_soft_install,✅
MBTget,Modbus security assessment tool,mbtget,✅,✅,✅,mbtget_soft_install,✅
Kismet,Wireless network detector and IDS,kismet | kismet_server | kismet_client,✅,✅,✅,kismet_soft_install,✅
Bettercap,Swiss Army knife for network attacks,bettercap,✅,✅,✅,bettercap_soft_install,✅
Hashcat,Advanced password recovery,hashcat,✅,✅,✅,hashcat_soft_install,✅
John the Ripper,Password cracker,john | unshadow | unique,✅,✅,✅,john_soft_install,✅
Caido,Modern web security proxy,caido,✅,✅,✅,caido_soft_install,✅
DonPAPI,Dump DPAPI secrets remotely,donpapi,✅,✅,✅,donpapi_soft_install,❌ (install manually)
BeEF,Browser Exploitation Framework,beef,✅,✅,✅,beef_soft_install,❌ (install manually)
Argus,The Ultimate Information Gathering Toolkit,argus,✅,✅,✅,argus_soft_install_fromsource,✅
curlie,The power of curl - the ease of use of httpie,curlie,✅,✅,✅,curlie_soft_install_fromsource,✅
