Tool(s), Available commands, amd64 ,aarch64, riscv64, Installation function
Nvidia OpenCL (to enable),,✅ (not activated)  ,❌,❌, In the docker file
Intel OpenCL (to enable),,✅ (not activated) ,❌,❌, In the docker file
CyberEther,cyberether,✅  ,✅  ,✅ , cyberther_soft_install
SDR Angel, sdrangel,✅  ,✅  ,✅ , sdrangel_soft_fromsource_install
QSSTV,qsstv,✅  ,✅  ,✅ , qsstv_soft_install
Sigdigger, SigDigger,✅  ,✅  (but slow),✅ (but slow) , sigdigger_soft_install
ice_bluetooth, ice9-bluetooth,✅  ,❌,❌, ice9_bluetooth_soft_install
Meshtastic SDR, /rftools/sdr/meshtastic_sdr/,✅  ,✅  ,✅ , meshtastic_sdr_soft_install
gps_sdr_sim, /rftools/sdr/gps-sdr-sim/,✅  ,✅  ,✅, gps_sdr_sim_soft_install
nfc laboratory,nfc-lab,✅  ,✅  ,✅, nfclaboratory_soft_install
Scikit-learn,,✅  ,✅ ,✅ , ml_and_dl_soft_install
pandas,,✅  ,✅  ,✅ ,ml_and_dl_soft_install
seaborn,,✅  ,✅  ,✅ ,ml_and_dl_soft_install
Tensorflow,,✅  ,✅  ,✅ ,ml_and_dl_soft_install
Gpredict,,✅  ,✅  ,✅ ,ml_and_dl_soft_install
v2verifier,/rftools/sdr/v2verifier/,✅  ,✅,✅ ,  v2verifier_sdr_soft_install
wavingz,/rftools/sdr/waving-z/build/,✅  ,✅  ,✅ ,wavingz_sdr_soft_install
SatDump,/rftools/sdr/SatDump/*,✅  ,✅  ,✅ ,satdump_sdr_soft_install (with HydraSDR and Harogic Support)
PySpecSDR,/rftools/sdr/PySpecSDR/*,✅  ,✅  ,✅ ,satdump_sdr_soft_install
trunk-recorder,trunk-recorder,✅  ,✅  ,✅ ,trunkrecorder_soft_install
op25,op25,✅  ,✅  ,✅ ,op25_soft_install
osmo-tetra,/rftools/sdr/osmo-tetra/*,✅  ,✅  ,✅ ,tetra_suite_install
telive,telive,✅  ,✅  ,✅ ,tetra_suite_install
tetra-kit,tetra-kit,✅  ,✅  ,✅ ,tetrakit_soft_install
tetra-kit-player,tetra-kit-player,✅  ,✅  ,✅ ,tetrakitplayer_soft_install
AIS-catcher,AIS-catcher,✅  ,✅  ,✅ ,AIScatcher_soft_install
QRadioLink,qradiolink,✅  ,✅  ,✅ ,qradiolink_soft_install
