Tool(s),amd64 ,aarch64, riscv64
OOT – gr-gsm,✅  ,✅ ,✅
OOT – gr_lora,✅  ,✅   ,✅
OOT – gr_lorasdr,✅  ,✅   ,✅
OOT – gr_iridium,✅  ,✅  ,✅ 
OOT – gr_inspector,✅  ,✅ ,✅  
OOT – gr_uaslink,✅  ,✅ ,✅  
OOT – gr_X10,✅  ,✅  ,✅ 
OOT – gr_gfdm,✅  ,✅   ,✅
OOT – gr_aaoronia_rtsa,✅  ,✅   ,✅
OOT – gr_ccsds,❌,❌,❌
OOT – gr_ais,✅  ,✅   ,✅  
OOT – gr_dvbs2,✅  ,✅  ,✅   
OOT – gr_tempest,✅  ,✅   ,✅  
OOT – gr_dab,✅  ,✅  ,✅   
OOT – gr_dect2,✅  ,✅   ,✅  
OOT – gr_foo,✅  ,✅  ,✅   
OOT – gr_ieee802-11,✅  ,✅   ,✅  
OOT – gr_ieee802154,✅  ,✅   ,✅ 
OOT – gr_rds,✅  ,✅   ,✅  
OOT – gr_droneid,✅  ,✅   ,✅  
OOT – gr_satellites,✅  ,✅  ,✅   
OOT – gr_adsb,✅  ,✅   ,✅  
OOT – gr_keyfob,✅  ,✅  ,✅   
OOT – gr_radar,✅  ,✅  ,✅   
OOT – gr_nordic,✅  ,✅  ,✅   
OOT – gr_paint,✅  ,✅  ,✅   
OOT – gr_pdu_utils,✅  ,✅  ,✅   
OOT – gr_sandia_utils,✅  ,✅ ,✅    
OOT – gr_timing_utils,✅  ,✅  ,✅   
OOT – gr_fhss,✅  ,✅   ,✅  
OOT – gr-aistx,✅  ,✅ ,✅    
OOT – gr-zwave_poore,✅  ,✅  ,✅   
OOT – gr-mixalot,✅  ,✅  ,✅   
OOT – gr_DCF77_Receiver,✅  ,✅  ,✅   
OOT – gr-j2497,✅  ,✅   ,✅  
OOT – gr-airmodes,✅  ,✅   ,✅  
OOT – gr-bb60_Receiver,✅  ,❌ ,❌  
OOT – gr_fosphor,✅  ,❓,❓
OOT – gr-m17,✅  ,✅   ,✅ 
OOT – gr-gr-net,✅  ,✅   ,✅ 
OOT – gr-aoa,✅  ,✅   ,✅ 
OOT – grc-orrectiq,✅  ,✅   ,✅ 
OOT – gr-dsd,✅  ,✅   ,✅ 
OOT – gr-nrsc5,✅  ,✅   ,✅ 
OOT – gr-ntsc-rc,✅  ,✅   ,✅ 
OOT – gr-nfc,✅  ,✅   ,✅ 
