Tool(s),Available commands,amd64 ,aarch64, riscv64, Installation function
GNU Radio,gnuradio-companion | gnuradio-config-info | grcc,✅  ,✅  ,✅, gnuradio_soft_install
Common GNU Radio blocks,,✅  ,✅  ,✅ , common_sources_and_sinks
Soapy blocks and modules,,✅  ,✅  ,✅ , install_soapy_modules
SDR++,sdrpp,✅  ,✅  ,✅ , sdrpp_soft_fromsource_install
retrogram,/rftools/sdr/retrogram-soapysdr/retrogram-soapysdr,✅  ,✅  ,✅, retrogram_soapysdr_soft_install
kc908 SA GNU Radio blocks,,✅  ,✅  ,✅ ,kc908_sa_device
LeoBodnar GPSDO v1 CLI,/rftools/calibration/lbgpsdo/lbgpsdo.py,✅  ,✅  ,✅ , leobodnarv1_cal_device
LeoBodnar GPSDO v2 CLI (lbe-142x),lbe-142x,✅  ,✅  ,✅ , leobodnarv2_cal_device
GQRX,gqrx,✅  ,✅  ,✅, gqrx_soft_install
URH,urh | urh_cli,✅  ,✅  ,✅ , urh_soft_install (with HydraSDR and Harogic Support)
inspectrum,inspectrum,✅  ,✅  ,✅, inspectrum_soft_install
NanoVNASaver,NanoVNASaver,✅  ,❌ (fix needed installing PyQT6),❓, NanoVNASaver_cal_device_call
NanoVNA-QT,/rftools/calibration/NanoVNA-QT/run,✅  ,✅  ,✅ , NanoVNA_QT_cal_device
KCSDI,/rftools/calibration/Deepace/KCSDI-v0.4.5-45-linux-x86_64.AppImage,✅  ,❌,✅ , KCSDI_cal_device
rtl_433, rtl_433,✅  ,✅ ,✅, rtl_433_soft_install
Jupyter lab + notebook, jupiter,✅  ,✅  ,✅, jupyter_soft_install
Atermis,Artemis,✅  ,✅  ,❌ (needs Pyside6), artemis_soft_install
gqrx-scanner,gqrx-scanner,✅  ,✅  ,✅, gqrxscanner_sdr_soft_install
gnsslogger,gnsslogger,✅  ,✅  ,✅, gnsslogger_cal_device
soapy-rfnm,,✅  ,✅  ,✅, soapyrfnm_grmod_install
LibreVNA,LibreVNA-GUI,✅  ,✅ (not installed by default) ,✅ (not installed by default), librevna_cal_device
xnec2c,xnec2c,✅  ,✅  ,✅, xnec2c_cal_device
SoapyHarogic,,✅  ,✅  ,✅, soapyharogic_grmod_install
Lotus UP/DOWN converter,budc_cli | budc_gui,✅ ,✅ ,✅, lotus_budc_tune_device
