Tool(s),Description,Available commands,amd64,aarch64,riscv64,Installation function,Installed by default
UHD tools and libs,USRP Hardware Driver - Universal driver for Ettus Research USRP devices,uhd_adc_self_cal | uhd_fft | uhd_rx_cfile | uhd_cal_rx_iq_balance | uhd_find_devices | uhd_rx_nogui | uhd_cal_tx_dc_offset | uhd_image_loader | uhd_siggen | uhd_cal_tx_iq_balance | uhd_images_downloader | uhd_siggen_gui | uhd_config_info | uhd_modes.py | uhd_usrp_probe,✅,✅,✅,uhd_devices_install,✅
RTL-SDR tools and libs,RTL-SDR driver and tools for RTL2832U-based DVB-T receivers,rtl_biast | rtl_fm | rtl_sdr | rtl_test | rtl_adsb | rtl_eeprom | rtl_power | rtl_tcp,✅,✅,✅,rtlsdr_devices_install,✅
RTL-SDR v4 tools,Enhanced RTL-SDR Blog v4 driver with improved performance,rtl_biast | rtl_fm | rtl_sdr | rtl_test | rtl_adsb | rtl_eeprom | rtl_power | rtl_tcp,✅,✅,✅,rtlsdrv4_devices_install,❌ (optional alternative)
libiio and libad9361,Industrial I/O and AD9361 library for PlutoSDR and similar devices,iio_adi_xflow_check | iio_attr | iio_genxml | iio_info | iio_readdev | iio_reg | iio_stresstest | iio_writedev,✅,✅,✅,ad_devices_install,✅
Nuand bladeRF tools,bladeRF SDR tools and libraries built from source,bladeRF-cli | bladeRF-fsk,✅,✅,✅,nuand_devices_fromsource_install,✅
HackRF tools and lib,HackRF One SDR platform tools and libraries,hackrf_clock | hackrf_debug | hackrf_operacake | hackrf_sweep | hackrf_cpldjtag | hackrf_info | hackrf_spiflash | hackrf_transfer,✅,✅,✅,hackrf_devices_install,✅
Airspy tools and lib,Airspy R2/Mini and HF+ SDR receivers,airspy_gpio | airspy_rx | airspyhf_info | airspy_gpiodir | airspy_si5351c | airspyhf_lib_version | airspy_info | airspy_spiflash | airspyhf_rx | airspy_lib_version | airspyhf_calibrate | airspy_r820t | airspyhf_gpio,✅,✅,✅,airspy_devices_install,✅
LimeSDR tools and lib,LimeSDR and LimeSDR Mini SDR platform,LimeQuickTest | LimeSuiteGUI | LimeUtil,✅,✅,✅,limesdr_devices_install,✅
Funcube tools and lib,Funcube Dongle and Dongle Pro SDR receivers,qthid-fcd-controller,✅,✅,✅,funcube_devices_install,✅
XTRX tools and lib,XTRX mini-PCIe SDR platform,xtrx_fft,✅,✅,✅,xtrx_devices_install,✅
OsmoFL2K tools and lib,FL2000-based VGA adapter as SDR transmitter,fl2k_file | fl2k_tcp | fl2k_fm | fl2k_test,✅,✅,✅,osmofl2k_devices_install,✅
SignalHound Spike,Spectrum analyzer software for SignalHound BB and SM series,Spike,✅,❌,❌,signalhound_spike_sa_device,✅
SignalHound VSG60,Signal generator software for VSG60 vector signal generator,vsg60,✅,❌,❌,signalhound_vsg60_sa_device,✅
Harogic Devices,SAStudio4 spectrum analyzer software for Harogic HTRA devices,sastudio,✅,✅,❌,harogic_sa_device,✅
RFNM,RFNM SDR platform library and drivers,librfnm,✅,✅,✅,rfnm_devices_install,✅
LibreSDR B2x0,Open-source FPGA images for USRP B2x0 series,libresdr_swapfpga,✅,✅,✅,libresdr_b2x0_devices_install,✅
pocketVNA,Vector Network Analyzer software for pocketVNA device,pocketVNA,✅,❌,❌,pocketvna_sa_device,❌ (install manually)
LiteX M2SDR,LiteX-based M2SDR platform with SoapySDR drivers,SoapySDR drivers,✅,✅,✅,litexm2sdr_devices_install,✅
HydraSDR/RFOne tools,HydraSDR RFOne SDR platform tools and libraries,hydrasdr_gpio | hydrasdr_calibrate | hydrasdr_gpiodir | hydrasdr_lib_version | hydrasdr_reset | hydrasdr_set_rf_port | hydrasdr_spiflash | hydrasdr_info | hydrasdr_r82x | hydrasdr_rx | hydrasdr_si5351c,✅,✅,✅,hydrasdr_rfone_install,✅
kalibrate-hydrasdr,GSM frequency calibration tool for HydraSDR,kal,✅,✅,✅,kalibrate_hydrasdr_device,✅
USDR Library,waveLab USDR software-defined radio library,libusdr,✅,✅,✅,usdr_lib_install,✅
ANTSDR UHD,MicroPhase ANTSDR variant of UHD for ANTSDR devices,Same as UHD tools,✅,✅,✅,antsdr_uhd_devices_install,❌ (optional alternative to UHD)
SoapySDR modules,Additional SoapySDR device modules (osmosdr rtlsdr bladerf hackrf uhd mirisdr rfspace),Various SoapySDR modules,✅,✅,✅,install_soapy_modules,❌ (install manually)
SoapyPlutoSDR,SoapySDR module for PlutoSDR devices,SoapySDR PlutoSDR support,✅,✅,✅,install_soapyPlutoSDR_modules,❌ (install manually)
