Tool(s),Description,Available commands,amd64,aarch64,riscv64,Installation function,Installed by default
hcitools,Bluetooth HCI layer tools for device configuration and management,hciattach | hciconfig | hcidump | hcitool,✅,✅,✅,blueztools_soft_install,✅
bluez tools,BlueZ Bluetooth protocol stack utilities,bluetoothctl | bluetoothd | btmon,✅,✅,✅,blueztools_soft_install,✅
mirage,Modular framework for BLE security auditing with Python 3.10 venv,mirage,✅,✅,✅,mirage_soft_install,✅
Sniffle,TI CC13x2/CC26x2 BLE sniffer with OpenDroneID support,/rftools/bluetooth/Sniffle/,✅,✅,✅,sniffle_soft_install,✅
bluing,Python-based Bluetooth Low Energy scanner and analyzer,/rftools/bluetooth/bluing/bluing/bin/,✅,✅,✅,bluing_soft_install,✅
bdaddr,Tool to change Bluetooth device address,/rftools/bluetooth/bdaddr/bdaddr,✅,✅,✅,bdaddr_soft_install,✅
WHAD,Wireless Hacking Devices protocol framework,whadup | wplay | wsniff | wfilter | wextract | wdump | wshark | wanalyze | winject | wserver | wble-central | wble-periph | wble-proxy | wble-spawn | wble-connect | wuni-scan | wuni-mouse | wuni-keyboard,✅,✅,✅,whad_soft_install,✅
esp32_bluetooth_classic_sniffer,ESP32-based Bluetooth Classic sniffer with Python CLI,BTSnifferBREDR,✅,✅,✅,esp32_bluetooth_classic_sniffer_soft_install,✅
bettercap,Swiss Army knife for WiFi Bluetooth and network attacks,bettercap,✅,✅,✅,bettercap_soft_install,❌ (install manually)
Kismet,Wireless network detector and packet sniffer with BT support,kismet,✅,✅,✅,kismet_soft_install,❌ (install manually)
BlueKit,Bluetooth security assessment toolkit,bluekit,✅,✅,✅,bluekit_soft_install,❌ (install manually)
