Tool(s),Description,Available commands,amd64,aarch64,riscv64,Installation function,Installed by default
AVRDUDE,AVR microcontroller programmer,avrdude,✅,✅,✅,avrdude_install,✅
DSView,Logic analyzer software for DSLogic,DSView,✅,✅,✅,dsview_install,✅
PulseView,Sigrok logic analyzer frontend,pulseview,✅,✅,✅,pulseview_install,✅
Arduino IDE,Integrated development environment for Arduino,arduino | arduino-cli,✅,✅,✅,arduino_ide_install,✅
Logic 2 (Saleae),Logic analyzer software for Saleae devices,logic2 | Logic,✅,❌,❌,logic2_saleae_install,✅
Flashrom,Flash chip programmer,flashrom,✅,✅,✅,flashrom_install,✅
dsl2sigrok,Convert DSLogic VCD to Sigrok format,dsl2sigrok,✅,✅,✅,dsl2sigrok_install,✅
SeerGDB,Lightweight GUI frontend to GDB,seergdb,✅,✅,✅,seergdb_install,✅
OpenOCD,On-Chip Debugger for embedded devices,openocd,✅,✅,✅,openocd_install,✅
dfu-util,Device Firmware Upgrade utilities,dfu-util | dfu-prefix | dfu-suffix,✅,✅,✅,dfu_util_install,✅
openFPGALoader,Universal FPGA programming utility,openFPGALoader,✅,✅,✅,openFPGALoader_install,✅
MTKClient,MediaTek bootloader client,mtkclient | mtk,✅,✅,✅,mtkclient_install,✅
esptool,ESP8266/ESP32 ROM bootloader utility,esptool.py | espefuse.py | espsecure.py,✅,✅,✅,esptool_install,✅
ngscopeclient,Next-generation oscilloscope software,ngscopeclient,✅,✅,✅,ngscopeclient_install,✅
GPU Drivers - NVIDIA,NVIDIA GPU compute drivers,nvidia-smi | nvidia-settings,✅,✅,✅,install_GPU_nvidia,✅
GPU Drivers - Intel,Intel GPU compute drivers,intel-gpu-tools,✅,✅,✅,install_GPU_Intel,✅
GPU Drivers - Radeon (up to 5000),AMD Radeon GPU drivers for older cards,rocm-smi,✅,✅,✅,install_GPU_Radeon_until5000,✅
GPU Drivers - Radeon (latest),AMD Radeon GPU drivers for latest cards,rocm-smi,✅,✅,✅,install_GPU_latest_Radeon,✅
HydraNFC Trace Plugin,Sigrok plugin for HydraNFC traces,Sigrok HydraNFC decoder,✅,✅,✅,hydranfc_trace_plugin_install,✅
