Tool(s),Available commands,amd64 ,aarch64,riscv64,Installation function
kataistruct,kaitai-struct-compiler,✅  ,✅,❓,kataistruct_soft_install
unicorn,,✅  ,✅  ,❓,unicorn_soft_install
keystone,keytool,✅  ,✅,❓ ,keystone_soft_install
radare2,radare2 | radiff2,✅  ,✅  ,❓,radare2_soft_install
ghidra,ghidraRun,✅  ,✅  ,❓,ghidra_soft_install
binwalk,binwalk,✅  ,✅ ,❓ ,binwalk_soft_install
binwalk v3,binwalkv3,✅  ,✅ , ✅ ,binwalk_soft_install
cutter,,✅,✅,❌,cutter_soft_install
LLVM tools,,✅  ,✅  ,❓,LLVM_install
AFL++,afl-*,✅  ,✅  ,❓,AFL_install
HongFuzz,honggfuzz,✅  ,✅  ,❓,honggfuzz_install
SemGrep,semgrep,✅  ,✅  ,❓,semgrep_install
C++ check,cppcheck*,✅  ,✅  ,❓,cppcheck_install
Clang static analyzer,,✅  ,✅  ,❓,clang_static_analyzer_install
Qiling,,❓  ,❓  ,❓,qiling_soft_install
ImHex,ImHex,✅  ,✅  ,❓,imhex_soft_install
binwalk,binwalk,✅ ,✅  ,✅  ,binwalk_soft_install
binwalkv3,binwalkv3 (Rust),✅ ,✅  ,✅  ,binwalkv3_soft_install
sasquatch,sasquatch,✅ ,✅  ,✅  ,sasquatch_soft_install
unblob,unblob,✅ ,✅  ,✅  ,unblob_soft_install
qnx6-extractor,qnx6-extractor,✅ ,✅  ,✅  ,qnx6extractor_soft_install
