Tool(s),Description,Available commands,amd64,aarch64,riscv64,Installation function,Installed by default
CyberEther,Real-time SDR signal analyzer with GPU acceleration,cyberether,✅,✅,✅,cyberther_soft_install,✅
SigDigger,Advanced signal analyzer for reverse engineering,SigDigger,✅,✅,✅,sigdigger_soft_install,✅
QSSTV,Slow-scan television (SSTV) transceiver,qsstv,✅,✅,✅,qsstv_soft_install,✅
nfc-laboratory,NFC protocol analyzer and emulator,nfc-laboratory,✅,✅,✅,nfclaboratory_soft_install,✅
ice9-bluetooth,Bluetooth Classic sniffer,ice9-bluetooth,✅,❌,❌,ice9_bluetooth_soft_install,✅
Meshtastic SDR,Meshtastic mesh network SDR tools,meshtastic-sdr,✅,✅,✅,meshtastic_sdr_soft_install,✅
GPS-SDR-SIM,GPS signal simulator,gps-sdr-sim,✅,✅,✅,gps_sdr_sim_soft_install,✅
Gpredict,Real-time satellite tracking and orbit prediction,gpredict,✅,✅,✅,gpredict_sdr_soft_install,✅
V2Verifier,V2X message verification tool,v2verifier,✅,✅,✅,v2verifier_sdr_soft_install,✅
wavingZ,Z-Wave protocol analyzer,wavingz,✅,✅,✅,wavingz_sdr_soft_install,✅
PySpecSDR,Python spectrum analyzer,pyspecsdr,✅,✅,✅,pyspecsdr_sdr_soft_install,✅
AIS Catcher,Automatic Identification System decoder,aiscatcher,✅,✅,✅,AIScatcher_soft_install,✅
TetraKit,TETRA digital radio toolkit,tetrakit,✅,✅,✅,tetrakit_soft_install,✅
TetraKit Player,TETRA voice player,tetrakit-player,✅,✅,✅,tetrakitplayer_soft_install,✅
TETRA Suite,Complete TETRA decoder (osmo-tetra telive),osmo-tetra | telive,✅,✅,✅,tetra_suite_install,✅
OP25,APCO Project 25 decoder,op25,✅,✅,✅,op25_soft_install,✅
Trunk Recorder,Multi-channel trunked radio recorder,trunk-recorder,✅,✅,✅,trunkrecorder_soft_install,✅
SatDump,Universal satellite data processing software,satdump | satdump-ui,✅,✅,✅,satdump_sdr_soft_install,✅
SDRangel,Multi-platform SDR software with extensive plugins,sdrangel,✅,✅,✅,sdrangel_soft_fromsource_install,✅
ML and DL Libraries,Machine learning libraries for signal processing (numpy pandas scikit-learn tensorflow),Python ML/DL modules,✅,✅,✅,ml_and_dl_soft_install,✅
GPU Drivers - NVIDIA,NVIDIA GPU compute drivers for acceleration,nvidia-smi | nvidia-settings,✅,✅,✅,install_GPU_nvidia,✅
GPU Drivers - Intel,Intel GPU compute drivers,intel-gpu-tools,✅,✅,✅,install_GPU_Intel,✅
GPU Drivers - Radeon (up to 5000),AMD Radeon GPU drivers for older cards,rocm-smi,✅,✅,✅,install_GPU_Radeon_until5000,✅
GPU Drivers - Radeon (latest),AMD Radeon GPU drivers for latest cards,rocm-smi,✅,✅,✅,install_GPU_latest_Radeon,✅
gr-fosphor,GPU-accelerated FFT and display for GNU Radio,GNU Radio fosphor blocks,✅,❓,❓,grfosphor_grmod_install,✅ (GPU images only)
