Tool(s),Description,amd64,aarch64,riscv64,Installation function,Installed by default
gr-osmosdr,Common source/sink blocks for various SDR hardware,✅,✅,✅,common_sources_and_sinks,✅
gr-gsm,GSM/GPRS/EDGE baseband processor for GNU Radio,✅,✅,✅,grgsm_grmod_install,✅
gr-lora,LoRa PHY implementation for GNU Radio,✅,✅,✅,grlora_grmod_install,✅
gr-lora_sdr,Alternative LoRa SDR implementation with better decoding,✅,✅,✅,grlorasdr_grmod_install,✅
gr-iridium,Iridium satellite communication decoder,✅,✅,✅,griridium_grmod_install,✅
gr-inspector,Signal analysis and classification toolkit,✅,✅,✅,grinspector_grmod_install,✅
gr-uaslink,Unmanned Aerial System datalink decoder,✅,✅,✅,gruaslink_grmod_install,✅
gr-X10,X10 home automation protocol decoder,✅,✅,✅,grX10_grmod_install,✅
gr-gfdm,Generalized Frequency Division Multiplexing implementation,✅,✅,✅,grgfdm_grmod_install,✅
gr-aaronia_rtsa,Aaronia real-time spectrum analyzer support,✅,✅,✅,graaronia_rtsa_grmod_install,✅
gr-ccsds,CCSDS (space communications) protocol support,❌,❌,❌,grccsds_move_rtsa_grmod_install,❌ (broken - strtod_l issue)
gr-ais,Automatic Identification System (AIS) decoder,✅,✅,✅,grais_grmod_install,✅
gr-aistx,AIS transmitter blocks,✅,✅,✅,graistx_grmod_install,✅
gr-air-modes,Mode S/ADS-B aircraft transponder decoder,✅,✅,✅,grairmodes_grmod_install,✅
gr-dvbs2,DVB-S2 digital video broadcasting decoder,✅,✅,✅,grdvbs2_grmod_install,✅
gr-tempest,TEMPEST electromagnetic emanations receiver,✅,✅,✅,grtempest_grmod_install,✅
deep-tempest,Deep learning-based TEMPEST for screen reconstruction,❌,❌,❌,deeptempest_grmod_install,❌ (see sdr_deeptemptest_beta image)
gr-dab,Digital Audio Broadcasting (DAB/DAB+) decoder,✅,✅,✅,grdab_grmod_install,✅
gr-dect2,DECT (cordless phone) protocol decoder,✅,✅,✅,grdect2_grmod_install,✅
gr-foo,Miscellaneous GNU Radio blocks and utilities,✅,✅,✅,grfoo_grmod_install,✅
gr-ieee802-11,WiFi (802.11a/g/p) transceiver implementation,✅,✅,✅,grieee802-11_grmod_install,✅
gr-ieee802-11ah,WiFi HaLow (802.11ah) sub-1GHz implementation,✅,✅,✅,grieee802-11ah_grmod_install,✅
gr-ieee80211 (gr-wifi),Alternative WiFi implementation,✅,✅,✅,grieee80211-grwifi_grmod_install,✅
gr-ieee802-15-4,ZigBee and 802.15.4 PHY/MAC implementation,✅,✅,✅,grieee802154_grmod_install,✅
gr-rds,Radio Data System (RDS) encoder/decoder,✅,✅,✅,grrds_grmod_install,✅
gr-droneid,DJI DroneID and RemoteID decoder,✅,✅,✅,grdroineid_grmod_install,✅
gr-satellites,Satellite telemetry decoder (100+ satellites),✅,✅,✅,grsatellites_grmod_install,✅
gr-adsb,ADS-B aircraft transponder decoder,✅,✅,✅,gradsb_grmod_install,✅
gr-keyfob,Car key fob signal analyzer,✅,✅,✅,grkeyfob_grmod_install,✅
gr-radar,Radar signal processing toolkit,✅,✅,✅,grradar_grmod_install,✅
gr-nordic,Nordic Semiconductor protocol decoder (nRF24L01+),✅,✅,✅,grnordic_grmod_install,✅
gr-paint,Spectrum painting and waterfall annotation,✅,✅,✅,grpaint_grmod_install,✅
gr-pdu_utils,Protocol Data Unit utilities from Sandia,✅,✅,✅,grpdu_utils_grmod_install,✅
gr-sandia_utils,Sandia National Labs signal processing blocks,✅,✅,✅,grsandia_utils_grmod_install,✅
gr-timing_utils,Timing and synchronization utilities from Sandia,✅,✅,✅,grtiming_utils_grmod_install,✅
gr-fhss_utils,Frequency Hopping Spread Spectrum utilities,✅,✅,✅,grfhss_utils_grmod_install,✅
gr-zwave_poore,Z-Wave home automation protocol decoder,✅,✅,✅,grzwavepoore_grmod_install,✅
gr-mixalot,POCSAG pager protocol encoder,✅,✅,✅,grmixalot_grmod_install,✅
gr-reveng,CRC and checksum reverse engineering,✅,✅,✅,grreveng_grmod_install,✅
gr-DCF77_Receiver,DCF77 time signal receiver,✅,✅,✅,gr_DCF77_Receiver_grmod_install,✅
gr-j2497,MIL-STD-1553 and MIL-STD-1397 decoder,✅,✅,✅,grj2497_grmod_install,✅
gr-m17,M17 digital voice protocol implementation,✅,✅,✅,grm17_grmod_install,✅
gr-grnet,Network socket blocks for GNU Radio,✅,✅,❌,grgrnet_grmod_install,✅
gr-aoa,Angle of Arrival estimation,✅,✅,✅,graoa_grmod_install,✅
gr-correctiq,IQ correction algorithms for SDR devices,✅,✅,✅,grcorrectiq_grmod_install,✅
gr-dsd,Digital Speech Decoder (P25 DMR NXDN),✅,✅,✅,grdsd_grmod_install,✅
gr-nrsc5,HD Radio (NRSC-5) decoder,✅,✅,✅,grnrsc5_grmod_install,✅
gr-ntsc-rc,NTSC video signal processing,✅,✅,✅,grntscrc_grmod_install,✅
gr-nfc,NFC (Near Field Communication) PHY,✅,✅,✅,grnfc_grmod_install,✅
gr-fosphor,GPU-accelerated spectrum analyzer (requires GPU),✅,❓,❓,grfosphor_grmod_install,✅ (GPU images only)
gr-mer,Modulation Error Ratio measurement,✅,✅,✅,grmer_grmod_install,✅
gr-flarm,FLARM aircraft collision avoidance decoder,✅,✅,✅,grflarm_grmod_install,✅
gr-guiextra,Additional GUI widgets and displays,✅,✅,✅,grguiextra_grmod_install,✅
gr-rftap,RF tap blocks for protocol analysis,✅,✅,✅,grrftap_grmod_install,✅
gr-radio_astro,Radio astronomy signal processing,✅,✅,✅,grradioastro_grmod_install,✅
gr-cessb,Controlled Envelope Single Sideband modulation,✅,✅,✅,grcessb_grmod_install,✅
gr-signal-hound,Signal Hound device support for GNU Radio,✅,✅,❌,grsignalhound_Receiver_grmod_install,❌ (install manually)
gr-bladerf,bladeRF device support for GNU Radio,✅,✅,✅,grbladerf_grmod_install,❌ (install manually)
gr-htra,Harogic HTRA device support for GNU Radio,✅,❌,❌,grhtra_grmod_install,❌ (install manually)
SoapyRFNM,SoapySDR support for RFNM devices,✅,✅,❌,soapyrfnm_grmod_install,❌ (install manually)
SoapyHarogic,SoapySDR support for Harogic devices,✅,✅,❌,soapyharogic_grmod_install,❌ (install manually)
SoapyHydraSDR,SoapySDR support for HydraSDR RFOne,✅,✅,✅,hydrasdr_rfone_soapy_install,❌ (install manually)
