Tool(s),Description,Available commands,amd64,aarch64,riscv64,Installation function,Installed by default
pycrate,Python library for mobile network protocols (2G/3G/4G/5G),Python pycrate module,✅,✅,✅,pycrate_soft_install,✅
CryptoMobile,Mobile network cryptographic functions (Milenage TUAK Kasumi),Python CryptoMobile module,✅,✅,✅,cryptomobile_soft_install,✅
PySIM,SIM card management and programming,pySim-shell.py | pySim-read.py | pySim-prog.py,✅,✅,✅,pysim_soft_install,✅
pySCTP,Python bindings for SCTP protocol,Python pysctp module,✅,✅,✅,pysctp_soft_install,✅
sysmo-usim-tool,SIM card programming for Sysmocom cards,sysmo-usim-tool,✅,✅,✅,sysmoUSIM_soft_install,✅
SCAT,Signaling collection and analysis toolkit,scat | signalcat,✅,✅,✅,SCAT_soft_install,✅
SigPloit,Signaling exploitation framework,sigploit,✅,✅,✅,SigPloit_soft_install,✅
PyHSS,Python Home Subscriber Server,pyhss,✅,✅,✅,pyhss_soft_install,✅
Bromelia,Python Diameter protocol stack,Python bromelia module,✅,✅,✅,bromelia_soft_install,✅
jSS7,Java SS7 protocol stack,jSS7 tools,✅,❌,❌,jss7_soft_install,✅
Py5sig,5G NAS security tool,py5sig,✅,✅,✅,py5sig_soft_install,❌ (install manually)
Modmobmap,Mobile network mapping tool,modmobmap,✅,✅,✅,Modmobmap_soft_install,❌ (install manually)
