Tool(s),Description,Available commands,amd64,aarch64,riscv64,Installation function,Installed by default
iproute2,Modern network configuration utilities,ip | ss | bridge | rtmon,✅,✅,✅,common_nettools,✅
hostapd,IEEE 802.11 AP and authentication server,hostapd,✅,✅,✅,common_nettools,✅
dnsmasq,Lightweight DNS/DHCP server for rogue AP,dnsmasq,✅,✅,✅,common_nettools,✅
macchanger,MAC address spoofing utility,macchanger,✅,✅,✅,common_nettools,✅
tshark,Command-line network protocol analyzer,tshark,✅,✅,✅,common_nettools,✅
aircrack-ng,Complete WiFi security auditing suite,airbase-ng | aircrack-ng | airdecap-ng | airdecloak-ng | aireplay-ng | airmon-ng | airodump-ng | airodump-ng-oui-update | airolib-ng | airmon-zc | airtun-ng | besside-ng | easside-ng | tkiptun-ng | wesside-ng,✅,✅,✅,aircrack_soft_install,✅
hcxdumptool,Modern WiFi capture tool for hashcat,hcxdumptool,✅,✅,✅,hcxdumptool_soft_install,✅
hcxtools,Convert captures to hashcat format,hcxpcapngtool | hcxhashtool | hcxpsktool | hcxpmktool,✅,✅,✅,hcxtools_soft_install,✅
reaver,WPS brute-force attack tool,reaver | wash,✅,✅,✅,reaver_soft_install,✅
bully,Alternative WPS brute-force tool,bully,✅,✅,✅,bully_soft_install,✅
pixiewps,WPS Pixie Dust attack implementation,pixiewps,✅,✅,✅,pixiewps_soft_install,✅
eaphammer,Targeted evil twin and credential harvesting,/rftools/wifi/eaphammer/,✅,✅,✅,eaphammer_soft_install,✅
airgeddon,Multi-tool WiFi security auditing framework,/rftools/wifi/airgeddon/airgeddon.sh,✅,✅,✅,airgeddon_soft_install,✅
wifite2,Automated WiFi attack tool,wifite,✅,✅,✅,wifite2_soft_install,✅
sparrow-wifi,WiFi and Bluetooth analyzer with SDR support,/rftools/wifi/sparrow-wifi/,✅,✅,✅,sparrowwifi_sdr_soft_install,✅
krackattacks-scripts,KRACK attack proof-of-concept,/rftools/wifi/krackattacks-scripts/,✅,✅,✅,krackattacks_script_soft_install,✅
BeEF,Browser Exploitation Framework for phishing,beef | /opt/network/beef/beef,✅,✅,✅,beef_soft_install,✅
asleap,LEAP/PPTP password cracker,asleap,✅,✅,✅,asleap_soft_install,✅
roguehostapd,Modified hostapd for advanced attacks,hostapd-mana,✅,✅,✅,roguehostapd_soft_install,✅
wifiphisher,Automated phishing attack framework,wifiphisher,✅,✅,✅,wifiphisher_soft_install,✅
hostapd-mana,Evil twin AP with credential harvesting,hostapd-mana,✅,✅,✅,hostapdmana_soft_install,✅
dragonslayer,WPA3 dragonfly vulnerability testing,/rftools/wifi/wpa3/dragonslayer/,✅,✅,✅,wpa3_dragonslayer_soft_install,✅
dragonforce,WPA3 downgrade and DoS attacks,/rftools/wifi/wpa3/dragonforce/,✅,✅,✅,wpa3_dragonforce_soft_install,✅
dragondrain-and-time,WPA3 resource exhaustion attacks,/rftools/wifi/wpa3/dragondrain-and-time/,✅,✅,✅,wpa3_dragondrain_and_time_soft_install,✅
wacker,WPA3 SAE timing attacks,/rftools/wifi/wpa3/wacker/,✅,✅,✅,wpa3_wacker_soft_install,✅
Pyrit,GPU-accelerated WPA/WPA2 cracker,pyrit,✅,❓,❓,Pyrit_soft_install,❌ (commented out - Python3 issues)
mdk3,Wireless denial-of-service testing,mdk3,✅,✅,✅,mdk3_soft_install,❌ (install manually)
wifipumpkin3,Rogue AP framework,wifipumpkin3,✅,✅,✅,wifipumpkin3_soft_install,❌ (install manually)
fernwifi-cracker,GUI-based WiFi security testing,Fern-Wifi-Cracker,✅,✅,✅,fernwificracker_soft_install,❌ (install manually)
