Tool(s),Available commands,amd64 ,aarch64,riscv64,Installation function
UHD tools and libs (need to enable/disable options),uhd_adc_self_cal | uhd_fft | uhd_rx_cfile | uhd_cal_rx_iq_balance | uhd_find_devices | uhd_rx_nogui | uhd_cal_tx_dc_offset | uhd_image_loader | uhd_siggen | uhd_cal_tx_iq_balance | uhd_images_downloader | uhd_siggen_gui | uhd_config_info | uhd_modes.py | uhd_usrp_probe,✅  ,✅,✅, uhd_devices_install 
RTL-tools and libs (need to enable/disable options), rtl_biast | rtl_fm | rtl_sdr | rtl_test  | rtl_adsb | rtl_eeprom | rtl_power | rtl_tcp,✅  ,✅  ,✅, rtlsdr_devices_install
libiio and libad9361,iio_adi_xflow_check | iio_attr | iio_genxml | iio_info | iio_readdev  |iio_reg | iio_stresstest | iio_writedev,✅  ,✅,✅,ad_devices_install
Nuand tools and lib,bladeRF-cli | bladeRF-fsk,✅  ,✅  ,✅,nuand_devices_install
HackRF tools and lib,hackrf_clock | hackrf_debug | hackrf_operacake | hackrf_sweep | hackrf_cpldjtag | hackrf_info | hackrf_spiflash | hackrf_transfer,✅  ,✅  ,✅,hackrf_devices_install
Airspry tools and lib,airspy_gpio | airspy_rx | airspyhf_info | airspy_gpiodir | airspy_si5351c | airspyhf_lib_version | airspy_info | airspy_spiflash | airspyhf_rx | airspy_lib_version | airspyhf_calibrate | airspy_r820t | airspyhf_gpio,✅  ,✅  ,✅,airspy_devices_install
LimeSDR tools and lib,LimeQuickTest | LimeSuiteGUI | LimeUtil,✅  ,✅  ,✅,limesdr_devices_install
Funcube tools and lib,,✅  ,✅  ,✅,funcube_devices_install
XTRX tools and lib,xtrx_fft,✅  ,✅  ,✅,xtrx_devices_install
OsmoFL2K tools and lib,fl2k_file | fl2k_tcp | fl2k_fm | fl2k_test,✅  ,✅ ,✅ ,osmofl2k_devices_install
SignalHound Spike,Spike,✅  ,❌ ,❌ ,signalhound_spike_sa_device
SignalHound VSG60,vsg60,✅  ,❌ ,❌ ,signalhound_vsg60_sa_device
Harogic Devices,sastudio,✅  ,✅ ,❌ ,harogic_sa_device
RFNM,,✅  ,✅ ,✅ ,rfnm_devices_install
LibreSDR B2x0,libresdr_swapfpga,✅  ,✅ ,✅ ,libresdr_b2x0_devices_install
pocketVNA,pocketVNA,✅ (not by default)  ,❌ ,❌ ,pocketvna_sa_device
